taxon	fa_max	fa_min	la_max	la_min
Hesperocyon_gregarius	39.7	37	29.5	18.5
Prohesperocyon_wilsoni	37	33.9	37	33.9
Hesperocyon_coloradensis	33.9	31.8	33.9	31.8
Otarocyon_macdonaldi	37	31.8	33.9	31.8
Mesocyon_temnodon	33.9	31.8	24.7	18.5
Osbornodon_renjiei	33.9	31.8	31.8	29.5
Archaeocyon_pavidus	31.8	29.5	31.8	18.5
Cynodesmus_thooides	31.8	29.5	29.5	18.5
Osbornodon_sesnoni	31.8	29.5	29.5	24.7
Oxetocyon_cuspidatus	31.8	29.5	31.8	29.5
Archaeocyon_leptodus	31.8	29.5	29.5	18.5
Ectopocynus_antiquus	31.8	29.5	29.5	18.5
Paraenhydrocyon_josephi	29.5	24.7	23.1	18.5
Cynarctoides_lemur	29.5	24.7	29.5	18.5
Phlaocyon_latidens	31.8	29.5	29.5	24.7
Rhizocyon_oregonensis	29.5	24.7	29.5	24.7
Enhydrocyon_crassidens	29.5	24.7	23.1	18.5
Leptocyon_vulpinus	29.5	18.5	18.5	16.3
Paraenhydrocyon_robustus	23.1	18.5	23.1	18.5
Cormocyon_haydeni	29.5	18.5	23.1	18.5
Leptocyon_gregorii	23.1	18.5	23.1	18.5
Cynarctoides_acridens	29.5	18.5	16.3	12.5
Enhydrocyon_pahinsintewakpa	29.5	24.7	24.7	18.5
Otarocyon_cooki	29.5	24.7	29.5	18.5
Cormocyon_copei	29.5	24.7	23.03	5.333
Mesocyon_coryphaeus	29.5	24.7	29.5	18.5
Leptocyon_mollis	29.5	24.7	29.5	24.7
Mesocyon_brachyops	31.8	18.5	31.8	18.5
Enhydrocyon_stenocephalus	29.5	24.7	29.5	18.5
Cynarctoides_roii	29.5	24.7	29.5	24.7
Philotrox_condoni	29.5	24.7	29.5	18.5
Phlaocyon_minor	29.5	18.5	18.5	16.3
Sunkahetanka_geringensis	29.5	24.7	29.5	18.5
Leptocyon_douglassi	29.5	24.7	29.5	18.5
Desmocyon_thomsoni	29.5	18.5	18.5	16.3
Phlaocyon_annectens	23.1	18.5	23.1	18.5
Phlaocyon_achoros	27.82	23.03	27.82	23.03
Paraenhydrocyon_wallovianus	27.82	23.03	23.1	18.5
Cynarctoides_luskensis	23.1	18.5	23.1	18.5
Osbornodon_brachypus	29.5	18.5	23.1	18.5
Enhydrocyon_basilatus	29.5	18.5	23.1	18.5
Phlaocyon_multicuspus	23.1	18.5	23.1	18.5
Phlaocyon_leucosteus	23.1	18.5	18.5	16.3
Cynarctoides_harlowi	23.1	18.5	23.1	18.5
Metatomarctus_canavus	20.44	15.98	20.44	15.98
Protomarctus_optatus	20.44	15.98	16.3	12.5
Ectopocynus_simplicidens	18.5	16.3	18.5	16.3
Phlaocyon_mariae	18.5	16.3	18.5	16.3
Desmocyon_matthewi	18.5	16.3	18.5	16.3
Paracynarctus_kelloggi	23.03	5.333	23.03	5.333
